C000  4C F5 C5  JMP $C5F5                       A:00 X:00 Y:00 P:24 SP:FD CYC:  0
C5F5  A2 00     LDX #$00                        A:00 X:00 Y:00 P:24 SP:FD CYC:  9
C5F7  86 00     STX $00 = 00                    A:00 X:00 Y:00 P:26 SP:FD CYC: 15
F9DC  C9 AA     CMP #$AA                        A:AA X:55 Y:A6 P:A4 SP:F9 CYC:150
F9DE  D0 01     BNE                             A:AA X:55 Y:A6 P:27 SP:F9 CYC:156
F9E0  60 84     RTS                             A:AA X:55 Y:A6 P:27 SP:F9 CYC:162
D454  C8        INY                             A:AA X:55 Y:A6 P:27 SP:FB CYC:180
D455  20 E4     JSR $F9E4                       A:AA X:55 Y:A7 P:A5 SP:FB CYC:186
F9E4  24 01     BIT $01 = FF                    A:AA X:55 Y:A7 P:A5 SP:F9 CYC:204
F9E6  38        SEC                             A:AA X:55 Y:A7 P:E5 SP:F9 CYC:213
F9E7  A9 01     LDA #$01                        A:AA X:55 Y:A7 P:E5 SP:F9 CYC:219
F9E9  60 90     RTS                             A:01 X:55 Y:A7 P:65 SP:F9 CYC:225
D458  85 78     STA $78 = AA                    A:01 X:55 Y:A7 P:65 SP:FB CYC:243
D45A  66 78     ROR $78                         A:01 X:55 Y:A7 P:65 SP:FB CYC:252
D45C  A5 78     LDA $78                         A:01 X:55 Y:A7 P:E5 SP:FB CYC:267
D45E  20 EA     JSR $F9EA                       A:80 X:55 Y:A7 P:E5 SP:FB CYC:276
F9EA  90 1C     BCC                             A:80 X:55 Y:A7 P:E5 SP:F9 CYC:294
F9EC  F0 1A     BEQ                             A:80 X:55 Y:A7 P:E5 SP:F9 CYC:300
F9EE  10 18     BPL                             A:80 X:55 Y:A7 P:E5 SP:F9 CYC:306
F9F0  50 16     BVC                             A:80 X:55 Y:A7 P:E5 SP:F9 CYC:312
F9F2  C9 80     CMP #$80                        A:80 X:55 Y:A7 P:E5 SP:F9 CYC:318
F9F4  D0 12     BNE                             A:80 X:55 Y:A7 P:67 SP:F9 CYC:324
F9F6  B8        CLV                             A:80 X:55 Y:A7 P:67 SP:F9 CYC:330
F9F7  18        CLC                             A:80 X:55 Y:A7 P:27 SP:F9 CYC:336
F9F8  A9 55     LDA #$55                        A:80 X:55 Y:A7 P:26 SP:F9 CYC:  1
F9FA  60 90     RTS                             A:55 X:55 Y:A7 P:24 SP:F9 CYC:  7
D461  C8        INY                             A:55 X:55 Y:A7 P:24 SP:FB CYC: 25
D462  85 78     STA $78 = 80                    A:55 X:55 Y:A8 P:A4 SP:FB CYC: 31
D464  66 78     ROR $78                         A:55 X:55 Y:A8 P:A4 SP:FB CYC: 40
D466  A5 78     LDA $78                         A:55 X:55 Y:A8 P:25 SP:FB CYC: 55
D468  20 FB     JSR $F9FB                       A:2A X:55 Y:A8 P:25 SP:FB CYC: 64
F9FB  90 0B     BCC                             A:2A X:55 Y:A8 P:25 SP:F9 CYC: 82
F9FD  F0 09     BEQ                             A:2A X:55 Y:A8 P:25 SP:F9 CYC: 88
F9FF  30 07     BMI                             A:2A X:55 Y:A8 P:25 SP:F9 CYC: 94
FA01  70 05     BVS                             A:2A X:55 Y:A8 P:25 SP:F9 CYC:100
FA03  C9 2A     CMP #$2A                        A:2A X:55 Y:A8 P:25 SP:F9 CYC:106
FA05  D0 01     BNE                             A:2A X:55 Y:A8 P:27 SP:F9 CYC:112
FA07  60 84     RTS                             A:2A X:55 Y:A8 P:27 SP:F9 CYC:118
D46B  C8        INY                             A:2A X:55 Y:A8 P:27 SP:FB CYC:136
D46C  20 0A     JSR $FA0A                       A:2A X:55 Y:A9 P:A5 SP:FB CYC:142
FA0A  24 01     BIT $01 = FF                    A:2A X:55 Y:A9 P:A5 SP:F9 CYC:160
FA0C  38        SEC                             A:2A X:55 Y:A9 P:E5 SP:F9 CYC:169
FA0D  A9 80     LDA #$80                        A:2A X:55 Y:A9 P:E5 SP:F9 CYC:175
FA0F  60 90     RTS                             A:80 X:55 Y:A9 P:E5 SP:F9 CYC:181
D46F  85 78     STA $78 = 2A                    A:80 X:55 Y:A9 P:E5 SP:FB CYC:199
D471  26 78     ROL $78                         A:80 X:55 Y:A9 P:E5 SP:FB CYC:208
D473  A5 78     LDA $78                         A:80 X:55 Y:A9 P:65 SP:FB CYC:223
D475  20 10     JSR $FA10                       A:01 X:55 Y:A9 P:65 SP:FB CYC:232
FA10  90 1C     BCC                             A:01 X:55 Y:A9 P:65 SP:F9 CYC:250
FA12  F0 1A     BEQ                             A:01 X:55 Y:A9 P:65 SP:F9 CYC:256
FA14  30 18     BMI                             A:01 X:55 Y:A9 P:65 SP:F9 CYC:262
FA16  50 16     BVC                             A:01 X:55 Y:A9 P:65 SP:F9 CYC:268
FA18  C9 01     CMP #$01                        A:01 X:55 Y:A9 P:65 SP:F9 CYC:274
FA1A  D0 12     BNE                             A:01 X:55 Y:A9 P:67 SP:F9 CYC:280
FA1C  B8        CLV                             A:01 X:55 Y:A9 P:67 SP:F9 CYC:286
FA1D  18        CLC                             A:01 X:55 Y:A9 P:27 SP:F9 CYC:292
FA1E  A9 55     LDA #$55                        A:01 X:55 Y:A9 P:26 SP:F9 CYC:298
FA20  60 B0     RTS                             A:55 X:55 Y:A9 P:24 SP:F9 CYC:304
D478  C8        INY                             A:55 X:55 Y:A9 P:24 SP:FB CYC:322
D479  85 78     STA $78 = 01                    A:55 X:55 Y:AA P:A4 SP:FB CYC:328
D47B  26 78     ROL $78                         A:55 X:55 Y:AA P:A4 SP:FB CYC:337
D47D  A5 78     LDA $78                         A:55 X:55 Y:AA P:A4 SP:FB CYC: 11
D47F  20 21     JSR $FA21                       A:AA X:55 Y:AA P:A4 SP:FB CYC: 20
FA21  B0 0B     BCS                             A:AA X:55 Y:AA P:A4 SP:F9 CYC: 38
FA23  F0 09     BEQ                             A:AA X:55 Y:AA P:A4 SP:F9 CYC: 44
FA25  10 07     BPL                             A:AA X:55 Y:AA P:A4 SP:F9 CYC: 50
FA27  70 05     BVS                             A:AA X:55 Y:AA P:A4 SP:F9 CYC: 56
FA29  C9 AA     CMP #$AA                        A:AA X:55 Y:AA P:A4 SP:F9 CYC: 62
FA2B  D0 01     BNE                             A:AA X:55 Y:AA P:27 SP:F9 CYC: 68
FA2D  60 84     RTS                             A:AA X:55 Y:AA P:27 SP:F9 CYC: 74
D482  A9 FF     LDA #$FF                        A:AA X:55 Y:AA P:27 SP:FB CYC: 92
D484  85 78     STA $78 = AA                    A:FF X:55 Y:AA P:A5 SP:FB CYC: 98
D486  85 01     STA $01 = FF                    A:FF X:55 Y:AA P:A5 SP:FB CYC:107
D488  24 01     BIT $01 = FF                    A:FF X:55 Y:AA P:A5 SP:FB CYC:116
D48A  38        SEC                             A:FF X:55 Y:AA P:E5 SP:FB CYC:125
D48B  E6 78     INC $78                         A:FF X:55 Y:AA P:E5 SP:FB CYC:131
D48D  D0 0C     BNE                             A:FF X:55 Y:AA P:67 SP:FB CYC:146
D48F  30 0A     BMI                             A:FF X:55 Y:AA P:67 SP:FB CYC:152
D491  50 08     BVC                             A:FF X:55 Y:AA P:67 SP:FB CYC:158
D493  90 06     BCC                             A:FF X:55 Y:AA P:67 SP:FB CYC:164
D495  A5 78     LDA $78                         A:FF X:55 Y:AA P:67 SP:FB CYC:170
D497  C9 00     CMP #$00                        A:00 X:55 Y:AA P:67 SP:FB CYC:179
D499  F0 04     BEQ                             A:00 X:55 Y:AA P:67 SP:FB CYC:185
D49F  A9 7F     LDA #$7F                        A:00 X:55 Y:AA P:67 SP:FB CYC:194
D4A1  85 78     STA $78 = 00                    A:7F X:55 Y:AA P:65 SP:FB CYC:200
D4A3  B8        CLV                             A:7F X:55 Y:AA P:65 SP:FB CYC:209
D4A4  18        CLC                             A:7F X:55 Y:AA P:25 SP:FB CYC:215
D4A5  E6 78     INC $78                         A:7F X:55 Y:AA P:24 SP:FB CYC:221
D4A7  F0 0C     BEQ                             A:7F X:55 Y:AA P:A4 SP:FB CYC:236
D4A9  10 0A     BPL                             A:7F X:55 Y:AA P:A4 SP:FB CYC:242
D4AB  70 08     BVS                             A:7F X:55 Y:AA P:A4 SP:FB CYC:248
D4AD  B0 06     BCS                             A:7F X:55 Y:AA P:A4 SP:FB CYC:254
D4AF  A5 78     LDA $78                         A:7F X:55 Y:AA P:A4 SP:FB CYC:260
D4B1  C9 80     CMP #$80                        A:80 X:55 Y:AA P:A4 SP:FB CYC:269
D4B3  F0 04     BEQ                             A:80 X:55 Y:AA P:27 SP:FB CYC:275
D4B9  A9 00     LDA #$00                        A:80 X:55 Y:AA P:27 SP:FB CYC:284
D4BB  85 78     STA $78 = 80                    A:00 X:55 Y:AA P:27 SP:FB CYC:290
D4BD  24 01     BIT $01 = FF                    A:00 X:55 Y:AA P:27 SP:FB CYC:299
D4BF  38        SEC                             A:00 X:55 Y:AA P:E7 SP:FB CYC:308
D4C0  C6 78     DEC $78                         A:00 X:55 Y:AA P:E7 SP:FB CYC:314
D4C2  F0 0C     BEQ                             A:00 X:55 Y:AA P:E5 SP:FB CYC:329
D4C4  10 0A     BPL                             A:00 X:55 Y:AA P:E5 SP:FB CYC:335
D4C6  50 08     BVC                             A:00 X:55 Y:AA P:E5 SP:FB CYC:  0
D4C8  90 06     BCC                             A:00 X:55 Y:AA P:E5 SP:FB CYC:  6
D4CA  A5 78     LDA $78                         A:00 X:55 Y:AA P:E5 SP:FB CYC: 12
D4CC  C9 FF     CMP #$FF                        A:FF X:55 Y:AA P:E5 SP:FB CYC: 21
D4CE  F0 04     BEQ                             A:FF X:55 Y:AA P:67 SP:FB CYC: 27
D4D4  A9 80     LDA #$80                        A:FF X:55 Y:AA P:67 SP:FB CYC: 36
D4D6  85 78     STA $78 = FF                    A:80 X:55 Y:AA P:E5 SP:FB CYC: 42
D4D8  B8        CLV                             A:80 X:55 Y:AA P:E5 SP:FB CYC: 51
D4D9  18        CLC                             A:80 X:55 Y:AA P:A5 SP:FB CYC: 57
D4DA  C6 78     DEC $78                         A:80 X:55 Y:AA P:A4 SP:FB CYC: 63
D4DC  F0 0C     BEQ                             A:80 X:55 Y:AA P:24 SP:FB CYC: 78
D4DE  30 0A     BMI                             A:80 X:55 Y:AA P:24 SP:FB CYC: 84
D4E0  70 08     BVS                             A:80 X:55 Y:AA P:24 SP:FB CYC: 90
D4E2  B0 06     BCS                             A:80 X:55 Y:AA P:24 SP:FB CYC: 96
D4E4  A5 78     LDA $78                         A:80 X:55 Y:AA P:24 SP:FB CYC:102
D4E6  C9 7F     CMP #$7F                        A:7F X:55 Y:AA P:24 SP:FB CYC:111
D4E8  F0 04     BEQ                             A:7F X:55 Y:AA P:27 SP:FB CYC:117
D4EE  A9 01     LDA #$01                        A:7F X:55 Y:AA P:27 SP:FB CYC:126
D4F0  85 78     STA $78 = 7F                    A:01 X:55 Y:AA P:25 SP:FB CYC:132
D4F2  C6 78     DEC $78                         A:01 X:55 Y:AA P:25 SP:FB CYC:141
D4F4  F0 04     BEQ                             A:01 X:55 Y:AA P:27 SP:FB CYC:156
D4FA  60 A9     RTS                             A:01 X:55 Y:AA P:27 SP:FB CYC:165
C615  20 FB     JSR $D4FB                       A:01 X:55 Y:AA P:27 SP:FD CYC:183
D4FB  A9 55     LDA #$55                        A:01 X:55 Y:AA P:27 SP:FB CYC:201
D4FD  8D 78 06  STA $0678 = 00                  A:55 X:55 Y:AA P:25 SP:FB CYC:207
D500  A9 FF     LDA #$FF                        A:55 X:55 Y:AA P:25 SP:FB CYC:219
D502  85 01     STA $01 = FF                    A:FF X:55 Y:AA P:A5 SP:FB CYC:225
D504  24 01     BIT $01 = FF                    A:FF X:55 Y:AA P:A5 SP:FB CYC:234
D506  A0 11     LDY #$11                        A:FF X:55 Y:AA P:E5 SP:FB CYC:243
D508  A2 23     LDX #$23                        A:FF X:55 Y:11 P:65 SP:FB CYC:249
D50A  A9 00     LDA #$00                        A:FF X:23 Y:11 P:65 SP:FB CYC:255
D50C  AD 78 06  LDA $0678                       A:00 X:23 Y:11 P:67 SP:FB CYC:261
D50F  F0 10     BEQ                             A:55 X:23 Y:11 P:65 SP:FB CYC:273
D511  30 0E     BMI                             A:55 X:23 Y:11 P:65 SP:FB CYC:279
D513  C9 55     CMP #$55                        A:55 X:23 Y:11 P:65 SP:FB CYC:285
D515  D0 0A     BNE                             A:55 X:23 Y:11 P:67 SP:FB CYC:291
D517  C0 11     CPY #$11                        A:55 X:23 Y:11 P:67 SP:FB CYC:297
D519  D0 06     BNE                             A:55 X:23 Y:11 P:67 SP:FB CYC:303
D51B  E0 23     CPX #$23                        A:55 X:23 Y:11 P:67 SP:FB CYC:309
D51D  50 02     BVC                             A:55 X:23 Y:11 P:67 SP:FB CYC:315
D51F  F0 04     BEQ                             A:55 X:23 Y:11 P:67 SP:FB CYC:321
D525  A9 46     LDA #$46                        A:55 X:23 Y:11 P:67 SP:FB CYC:330
D527  24 01     BIT $01 = FF                    A:46 X:23 Y:11 P:65 SP:FB CYC:336
D529  8D 78 06  STA $0678 = 55                  A:46 X:23 Y:11 P:E5 SP:FB CYC:  4
D52C  F0 0B     BEQ                             A:46 X:23 Y:11 P:E5 SP:FB CYC: 16
D52E  10 09     BPL                             A:46 X:23 Y:11 P:E5 SP:FB CYC: 22
D530  50 07     BVC                             A:46 X:23 Y:11 P:E5 SP:FB CYC: 28
D532  AD 78 06  LDA $0678                       A:46 X:23 Y:11 P:E5 SP:FB CYC: 34
D535  C9 46     CMP #$46                        A:46 X:23 Y:11 P:65 SP:FB CYC: 46
D537  F0 04     BEQ                             A:46 X:23 Y:11 P:67 SP:FB CYC: 52
D53D  A9 55     LDA #$55                        A:46 X:23 Y:11 P:67 SP:FB CYC: 61
D53F  8D 78 06  STA $0678 = 46                  A:55 X:23 Y:11 P:65 SP:FB CYC: 67
D542  24 01     BIT $01 = FF                    A:55 X:23 Y:11 P:65 SP:FB CYC: 79
D544  A9 11     LDA #$11                        A:55 X:23 Y:11 P:E5 SP:FB CYC: 88
D546  A2 23     LDX #$23                        A:11 X:23 Y:11 P:65 SP:FB CYC: 94
D548  A0 00     LDY #$00                        A:11 X:23 Y:11 P:65 SP:FB CYC:100
D54A  AC 78 06  LDY $0678                       A:11 X:23 Y:00 P:67 SP:FB CYC:106
D54D  F0 10     BEQ                             A:11 X:23 Y:55 P:65 SP:FB CYC:118
D54F  30 0E     BMI                             A:11 X:23 Y:55 P:65 SP:FB CYC:124
D551  C0 55     CPY #$55                        A:11 X:23 Y:55 P:65 SP:FB CYC:130
D553  D0 0A     BNE                             A:11 X:23 Y:55 P:67 SP:FB CYC:136
D555  C9 11     CMP #$11                        A:11 X:23 Y:55 P:67 SP:FB CYC:142
D557  D0 06     BNE                             A:11 X:23 Y:55 P:67 SP:FB CYC:148
D559  E0 23     CPX #$23                        A:11 X:23 Y:55 P:67 SP:FB CYC:154
D55B  50 02     BVC                             A:11 X:23 Y:55 P:67 SP:FB CYC:160
D55D  F0 04     BEQ                             A:11 X:23 Y:55 P:67 SP:FB CYC:166
D563  A0 46     LDY #$46                        A:11 X:23 Y:55 P:67 SP:FB CYC:175
D565  24 01     BIT $01 = FF                    A:11 X:23 Y:46 P:65 SP:FB CYC:181
D567  8C 78 06  STY $0678 = 55                  A:11 X:23 Y:46 P:E5 SP:FB CYC:190
D56A  F0 0B     BEQ                             A:11 X:23 Y:46 P:E5 SP:FB CYC:202
D56C  10 09     BPL                             A:11 X:23 Y:46 P:E5 SP:FB CYC:208
D56E  50 07     BVC                             A:11 X:23 Y:46 P:E5 SP:FB CYC:214
D570  AC 78 06  LDY $0678                       A:11 X:23 Y:46 P:E5 SP:FB CYC:220
D573  C0 46     CPY #$46                        A:11 X:23 Y:46 P:65 SP:FB CYC:232
D575  F0 04     BEQ                             A:11 X:23 Y:46 P:67 SP:FB CYC:238
D57B  24 01     BIT $01 = FF                    A:11 X:23 Y:46 P:67 SP:FB CYC:247
D57D  A9 55     LDA #$55                        A:11 X:23 Y:46 P:E5 SP:FB CYC:256
D57F  8D 78 06  STA $0678 = 46                  A:55 X:23 Y:46 P:65 SP:FB CYC:262
D582  A0 11     LDY #$11                        A:55 X:23 Y:46 P:65 SP:FB CYC:274
D584  A9 23     LDA #$23                        A:55 X:23 Y:11 P:65 SP:FB CYC:280
D586  A2 00     LDX #$00                        A:23 X:23 Y:11 P:65 SP:FB CYC:286
D588  AE 78 06  LDX $0678                       A:23 X:00 Y:11 P:67 SP:FB CYC:292
D58B  F0 10     BEQ                             A:23 X:55 Y:11 P:65 SP:FB CYC:304
D58D  30 0E     BMI                             A:23 X:55 Y:11 P:65 SP:FB CYC:310
D58F  E0 55     CPX #$55                        A:23 X:55 Y:11 P:65 SP:FB CYC:316
D591  D0 0A     BNE                             A:23 X:55 Y:11 P:67 SP:FB CYC:322
D593  C0 11     CPY #$11                        A:23 X:55 Y:11 P:67 SP:FB CYC:328
D595  D0 06     BNE                             A:23 X:55 Y:11 P:67 SP:FB CYC:334
D597  C9 23     CMP #$23                        A:23 X:55 Y:11 P:67 SP:FB CYC:340
D599  50 02     BVC                             A:23 X:55 Y:11 P:67 SP:FB CYC:  5
D59B  F0 04     BEQ                             A:23 X:55 Y:11 P:67 SP:FB CYC: 11
D5A1  A2 46     LDX #$46                        A:23 X:55 Y:11 P:67 SP:FB CYC: 20
D5A3  24 01     BIT $01 = FF                    A:23 X:46 Y:11 P:65 SP:FB CYC: 26
D5A5  8E 78 06  STX $0678 = 55                  A:23 X:46 Y:11 P:E5 SP:FB CYC: 35
D5A8  F0 0B     BEQ                             A:23 X:46 Y:11 P:E5 SP:FB CYC: 47
D5AA  10 09     BPL                             A:23 X:46 Y:11 P:E5 SP:FB CYC: 53
D5AC  50 07     BVC                             A:23 X:46 Y:11 P:E5 SP:FB CYC: 59
D5AE  AE 78 06  LDX $0678                       A:23 X:46 Y:11 P:E5 SP:FB CYC: 65
D5B1  E0 46     CPX #$46                        A:23 X:46 Y:11 P:65 SP:FB CYC: 77
D5B3  F0 04     BEQ                             A:23 X:46 Y:11 P:67 SP:FB CYC: 83
D5B9  A9 C0     LDA #$C0                        A:23 X:46 Y:11 P:67 SP:FB CYC: 92
D5BB  8D 78 06  STA $0678 = 46                  A:C0 X:46 Y:11 P:E5 SP:FB CYC: 98
D5BE  A2 33     LDX #$33                        A:C0 X:46 Y:11 P:E5 SP:FB CYC:110
D5C0  A0 88     LDY #$88                        A:C0 X:33 Y:11 P:65 SP:FB CYC:116
D5C2  A9 05     LDA #$05                        A:C0 X:33 Y:88 P:E5 SP:FB CYC:122
D5C4  2C 78 06  BIT $0678 = C0                  A:05 X:33 Y:88 P:65 SP:FB CYC:128
D5C7  10 10     BPL                             A:05 X:33 Y:88 P:E7 SP:FB CYC:140
D5C9  50 0E     BVC                             A:05 X:33 Y:88 P:E7 SP:FB CYC:146
D5CB  D0 0C     BNE                             A:05 X:33 Y:88 P:E7 SP:FB CYC:152
D5CD  C9 05     CMP #$05                        A:05 X:33 Y:88 P:E7 SP:FB CYC:158
D5CF  D0 08     BNE                             A:05 X:33 Y:88 P:67 SP:FB CYC:164
D5D1  E0 33     CPX #$33                        A:05 X:33 Y:88 P:67 SP:FB CYC:170
D5D3  D0 04     BNE                             A:05 X:33 Y:88 P:67 SP:FB CYC:176
D5D5  C0 88     CPY #$88                        A:05 X:33 Y:88 P:67 SP:FB CYC:182
D5D7  F0 04     BEQ                             A:05 X:33 Y:88 P:67 SP:FB CYC:188
D5DD  A9 03     LDA #$03                        A:05 X:33 Y:88 P:67 SP:FB CYC:197
D5DF  8D 78 06  STA $0678 = C0                  A:03 X:33 Y:88 P:65 SP:FB CYC:203
D5E2  A9 01     LDA #$01                        A:03 X:33 Y:88 P:65 SP:FB CYC:215
D5E4  2C 78 06  BIT $0678 = 03                  A:01 X:33 Y:88 P:65 SP:FB CYC:221
D5E7  30 08     BMI                             A:01 X:33 Y:88 P:25 SP:FB CYC:233
D5E9  70 06     BVS                             A:01 X:33 Y:88 P:25 SP:FB CYC:239
D5EB  F0 04     BEQ                             A:01 X:33 Y:88 P:25 SP:FB CYC:245
D5ED  C9 01     CMP #$01                        A:01 X:33 Y:88 P:25 SP:FB CYC:251
D5EF  F0 04     BEQ                             A:01 X:33 Y:88 P:27 SP:FB CYC:257
D5F5  A0 B8     LDY #$B8                        A:01 X:33 Y:88 P:27 SP:FB CYC:266
D5F7  A9 AA     LDA #$AA                        A:01 X:33 Y:B8 P:A5 SP:FB CYC:272
D5F9  8D 78 06  STA $0678 = 03                  A:AA X:33 Y:B8 P:A5 SP:FB CYC:278
D5FC  20 B6     JSR $F7B6                       A:AA X:33 Y:B8 P:A5 SP:FB CYC:290
F7B6  18        CLC                             A:AA X:33 Y:B8 P:A5 SP:F9 CYC:308
F7B7  A9 FF     LDA #$FF                        A:AA X:33 Y:B8 P:A4 SP:F9 CYC:314
F7B9  85 01     STA $01 = FF                    A:FF X:33 Y:B8 P:A4 SP:F9 CYC:320
F7BB  24 01     BIT $01 = FF                    A:FF X:33 Y:B8 P:A4 SP:F9 CYC:329
F7BD  A9 55     LDA #$55                        A:FF X:33 Y:B8 P:E4 SP:F9 CYC:338
F7BF  60 B0     RTS                             A:55 X:33 Y:B8 P:64 SP:F9 CYC:  3
D5FF  0D 78 06  ORA $0678                       A:55 X:33 Y:B8 P:64 SP:FB CYC: 21
D602  20 C0     JSR $F7C0                       A:FF X:33 Y:B8 P:E4 SP:FB CYC: 33
F7C0  B0 09     BCS                             A:FF X:33 Y:B8 P:E4 SP:F9 CYC: 51
F7C2  10 07     BPL                             A:FF X:33 Y:B8 P:E4 SP:F9 CYC: 57
F7C4  C9 FF     CMP #$FF                        A:FF X:33 Y:B8 P:E4 SP:F9 CYC: 63
F7C6  D0 03     BNE                             A:FF X:33 Y:B8 P:67 SP:F9 CYC: 69
